"date","uid","gender","age","incentive","amount"
2014-06-01,65cedaf809272e8a58bc792a,F,30,Be Active,25
2014-02-01,00702f1ca34934677257937d,F,29,Be Active,25
2014-02-01,ab1d6dedc47204ecc75c712c,M,38,Be Active,25
2014-03-01,ab1d6dedc47204ecc75c712c,M,38,Be Active,25
2014-04-01,ab1d6dedc47204ecc75c712c,M,38,Be Active,25
2014-05-01,ab1d6dedc47204ecc75c712c,M,38,Be Active,50
2014-06-01,ab1d6dedc47204ecc75c712c,M,38,Be Active,50
2014-07-01,ab1d6dedc47204ecc75c712c,M,38,Be Active,25
2014-02-01,aba0d04048a8d4d6363bd0e4,NULL,30,Be Active,25
2014-03-01,00bacc1b5a71f6f5de14e262,F,46,Be Active,25
2014-02-01,c8f7a33dd70fa2160ee127d8,M,45,Be Active,50
2014-04-01,c8f7a33dd70fa2160ee127d8,M,45,Be Active,25
2014-02-01,738d78e93b9d6cbd00fbbbc1,F,30,Be Active,25
2014-02-01,de73d414907586661c4103fa,F,33,Be Active,25
2014-02-01,53b5a172eb2f0d1a90171ee0,M,31,Be Active,75
2014-03-01,53b5a172eb2f0d1a90171ee0,M,31,Be Active,50
2014-02-01,6f21d99b327b6886845dd60e,NULL,40,Be Active,25
2014-02-01,7a109efa360c9fdae6ac8e7f,M,39,Be Active,25
2014-03-01,a112b842b849f173cdda994c,NULL,34,Be Active,25
2014-04-01,a112b842b849f173cdda994c,NULL,34,Be Active,25
2014-05-01,a112b842b849f173cdda994c,NULL,34,Be Active,25
2014-03-01,a09d04dd03a853f2d05610cd,NULL,38,Be Active,25
2014-02-01,74019ae46bb60eb2e8b2ba22,NULL,43,Be Active,25
2014-03-01,74019ae46bb60eb2e8b2ba22,NULL,43,Be Active,50
2014-02-01,6b71e4b0f63c066af0c344d6,F,40,Be Active,25
2014-03-01,6b71e4b0f63c066af0c344d6,F,40,Be Active,25
2014-09-01,6b71e4b0f63c066af0c344d6,F,40,Be Active,25
2014-01-01,6e6a2c7c3c0a60ee86cb2c6e,M,38,Be Active,25
2014-02-01,6e6a2c7c3c0a60ee86cb2c6e,M,38,Be Active,75
2014-03-01,6e6a2c7c3c0a60ee86cb2c6e,M,38,Be Active,75
2014-04-01,6e6a2c7c3c0a60ee86cb2c6e,M,38,Be Active,75
2014-01-01,75172568e4155072fef6df79,NULL,39,Be Active,25
2014-02-01,ed300b5cbc2d431b47056f22,NULL,34,Be Active,25
2014-02-01,10c8c852055cc264e91c1be0,NULL,40,Be Active,25
2014-03-01,10c8c852055cc264e91c1be0,NULL,40,Be Active,50
2014-04-01,10c8c852055cc264e91c1be0,NULL,40,Be Active,25
2014-05-01,10c8c852055cc264e91c1be0,NULL,40,Be Active,50
2014-06-01,10c8c852055cc264e91c1be0,NULL,40,Be Active,50
2014-07-01,10c8c852055cc264e91c1be0,NULL,40,Be Active,50
2014-08-01,10c8c852055cc264e91c1be0,NULL,40,Be Active,50
2014-09-01,10c8c852055cc264e91c1be0,NULL,40,Be Active,25
2014-10-01,10c8c852055cc264e91c1be0,NULL,40,Be Active,50
2014-11-01,10c8c852055cc264e91c1be0,NULL,40,Be Active,25
2014-12-01,10c8c852055cc264e91c1be0,NULL,40,Be Active,50
2014-02-01,66399b60a461b129d42446fa,M,32,Be Active,25
2014-02-01,bbff0ad8c48126a34d6df637,NULL,37,Be Active,25
2014-04-01,bbff0ad8c48126a34d6df637,NULL,37,Be Active,25
2014-05-01,bbff0ad8c48126a34d6df637,NULL,37,Be Active,50
2014-06-01,bbff0ad8c48126a34d6df637,NULL,37,Be Active,25
2014-07-01,bbff0ad8c48126a34d6df637,NULL,37,Be Active,25
2014-04-01,b6a2a5b30e2f3cf8a9a3362f,NULL,24,Be Active,25
2014-02-01,0f42196ae3d26e3a42a6171a,NULL,29,Be Active,50
2014-03-01,0f42196ae3d26e3a42a6171a,NULL,29,Be Active,25
2014-03-01,0d640e663f50a323693b2ea5,M,37,Be Active,25
2014-04-01,0d640e663f50a323693b2ea5,M,37,Be Active,50
2014-05-01,0d640e663f50a323693b2ea5,M,37,Be Active,75
2014-06-01,0d640e663f50a323693b2ea5,M,37,Be Active,50
2014-07-01,0d640e663f50a323693b2ea5,M,37,Be Active,75
2014-08-01,0d640e663f50a323693b2ea5,M,37,Be Active,25
2014-02-01,5da9076b3845759e838331de,F,31,Be Active,25
2014-03-01,5da9076b3845759e838331de,F,31,Be Active,25
2014-07-01,5da9076b3845759e838331de,F,31,Be Active,25
2014-02-01,a3bb64d45479dbf8a944f12f,F,30,Be Active,25
2014-07-01,a3bb64d45479dbf8a944f12f,F,30,Be Active,25
2014-02-01,75220e67f03be81e6c37646e,M,24,Be Active,25
2014-04-01,75220e67f03be81e6c37646e,M,24,Be Active,25
2014-05-01,75220e67f03be81e6c37646e,M,24,Be Active,50
2014-10-01,75220e67f03be81e6c37646e,M,24,Be Active,25
2014-11-01,75220e67f03be81e6c37646e,M,24,Be Active,50
2014-02-01,8a4d2de5d5e450e86134b1c7,NULL,44,Be Active,50
2014-03-01,8a4d2de5d5e450e86134b1c7,NULL,44,Be Active,50
2014-04-01,8a4d2de5d5e450e86134b1c7,NULL,44,Be Active,75
2014-05-01,8a4d2de5d5e450e86134b1c7,NULL,44,Be Active,50
2014-06-01,8a4d2de5d5e450e86134b1c7,NULL,44,Be Active,75
2014-07-01,8a4d2de5d5e450e86134b1c7,NULL,44,Be Active,75
2014-08-01,8a4d2de5d5e450e86134b1c7,NULL,44,Be Active,75
2014-02-01,071ef3f3762bfda3191d7aa5,F,35,Be Active,25
2014-08-01,071ef3f3762bfda3191d7aa5,F,35,Be Active,25
2014-09-01,071ef3f3762bfda3191d7aa5,F,35,Be Active,25
2014-02-01,89515dfb603c9c95989f7ca2,M,33,Be Active,50
2014-04-01,89515dfb603c9c95989f7ca2,M,33,Be Active,25
2014-05-01,89515dfb603c9c95989f7ca2,M,33,Be Active,50
2014-06-01,89515dfb603c9c95989f7ca2,M,33,Be Active,25
2014-02-01,66b164a9c7021381c0425aeb,NULL,34,Be Active,25
2014-08-01,66b164a9c7021381c0425aeb,NULL,34,Be Active,25
2014-02-01,daf5f383b03952b18cf4a393,M,41,Be Active,50
